name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
balu shahi,"maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,jUwhZdMqcRY
boondi,"gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,Pu0ChnMFLck
gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,0DDJ4mpSSfs
ghevar,"flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,8bw1uVGAatw
gulab jamun,"milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,Do9mk9mya_A
imarti,"sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,exqxVvW94bQ
jalebi,"maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,0w471_wMPP0
kaju katli,"cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,All State,All Region,M6CwnxnxHKI
kalakand,"milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,ruHhTpeRjt4
kheer,"milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,All State,All Region,riToqi_sAFA
laddu,"gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,All State,All Region,M7vbHUOgAKw
lassi,"yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,g4As2DDoUVI
nankhatai,"refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,All State,All Region,GPsC56huMMI
petha,"firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,gBuga_Fb5_4
phirni,"rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,OPAIFY_4Wrg
rabri,"condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,aBVT3IDnFk4
sheera,"semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,7QK48Z_Qs7Y
singori,"khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,nxRsXKIitkc
sohan halwa,"corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,XSz6xCz6_oo
sohan papdi,"gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,ky0nh_-Fl2g
chhena jalebi,"chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,ON56zlkjRrs
chhena kheeri,"chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,yZls5VMtNy8
chhena poda,"sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,63tRldH5G_w
cham cham,"flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,EFyRq2IwhtU
kheer sagar,"chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,97SzVyBrC8g
ledikeni,"chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,BdiheTZiyDY
lyangcha,"flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,hC4Jb7-2gIM
malapua,"yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,UHYGGmkkM8w
mihidana,"besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,QHEQuLRkLDY
misti doi,"milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,cQdddoWLxDE
pantua,"chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,lHRKn7BY0Fs
pithe,"rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,w6MnPinTZEs
rasabali,"chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,-ySwfHFFN5s
ras malai,"chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,LECpZPkP9Wk
rasgulla,"chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,wCuiuzmesk8
sandesh,"milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,Ag9Id4Wiv90
adhirasam,"rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,nzI8yYDUgCY
ariselu,"rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,Z_CrhktyRsA
bandar laddu,"besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,mz20du7h8To
chikki,"peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,KJ3H0dqQmso
dharwad pedha,"milk, sugar, dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,LEbvgeZLCpE
double ka meetha,"loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,DFdeJS3q1H8
gavvalu,"rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,YG9jewe8zyE
kakinada khaja,"wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,DSldaFIaIxU
kuzhi paniyaram,"black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,zJ4KcIM2Ey8
mysore pak,"besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,Js-wS5aLnho
obbattu holige,"maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,BcpAB6M4mXQ
palathalikalu,"rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,CyZxYEX-tLM
poornalu,"chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,8yfzN7G9O0s
pongal,"rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,GpOKfBlCPeg
pootharekulu,"rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,FBu7aHLqwMs
qubani ka meetha,"apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,oonJzGJo0ZM
sheer korma,"vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,VmhsMREDlws
unni appam,"rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,Woq-jYqpDcU
kajjikaya,"rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,09scAX6uUh8
anarsa,"rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,Zla-FSuNxT0
basundi,"sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,LnyOdR-tNp0
dhondas,"cucumber, rava",vegetarian,10,50,sweet,dessert,Maharashtra,West,w0n5RaYpRcI
doodhpak,"milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,UX2k1R0Eyyc
mahim halwa,"semolina, sugar",vegetarian,10,25,sweet,dessert,Maharashtra,West,9txBH8FAH9Y
modak,"rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,Maharashtra,West,k2uXvIkS0ZI
shankarpali,"sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,yqZBG3uIUso
shrikhand,"curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,n0fzwKqH5NA
sutar feni,"maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,CPkCiUt3fVE
maach jhol,"fish, potol, tomato, chillies, ginger, garlic",non-vegetarian,10,40,spicy,main course,Assam,North East,KgP_09usWDQ
pork bharta,"boiled pork, onions, chillies, ginger and garlic",non-vegetarian,-1,-1,spicy,main course,Tripura,North East,59ImIBEDA5g
chak hao kheer,"rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,2bJLL7fJZAE
galho,"rice, axone, salt, water, chillies, pork",non-vegetarian,5,15,spicy,main course,Nagaland,North East,LI8WIUHvrqQ
aloo gobi,"cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,0oZ6UxuFzis
aloo tikki,"rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,JOcnHa8FnBM
aloo matar,"potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,bGsomM6F-FI
aloo methi,"potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,aih2S55PF2o
aloo shimla mirch,"potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,6N0oe-lpwTM
bhatura,"chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,tJblfns7T28
bhindi masala,"ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,ect1YiQALF8
biryani,"chicken thighs, basmati rice, star anise, sweet, green chillies",non-vegetarian,30,120,spicy,main course,Telangana,South,95BCU1n268w
butter chicken,"chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non-vegetarian,10,35,spicy,main course,NCT of Delhi,North,a03U45jFxOI
chana masala,"chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,3Vf5_St-DEo
chapati,"whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,other,main course,Maharashtra,West,8m27vn0-GAk
chicken razala,"chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non-vegetarian,10,35,spicy,main course,West Bengal,East,C-zQAJnOn4M
chicken tikka masala,"naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non-vegetarian,10,50,spicy,main course,Punjab,North,c2MGcq_m6r4
chicken tikka,"chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non-vegetarian,120,45,spicy,starter,Punjab,North,uq0J0lOSlw0
chole bhature,"chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,QbyXsYOTJD4
daal baati churma,"moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,N3_R51ZXn7g
daal puri,"moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,82xnU5G2rNI
dal makhani,"red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,FTIjbV6yczo
dal tadka,"pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,xEeoZYpa5wY
dum aloo,"baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,JupJtfiNn2M
poha,"beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,VKvwWeVy8Nw
fara,"chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,2tp3dvk5YAg
kachori,"moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,tFT7moFMqR4
kadai paneer,"cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,HBd1D5DKDFQ
